,index,II,ABP,PLETH,RESP, RESP, HR, PULSE, SpO2, NBP SYS, NBP DIAS, NBP MEAN, PlsNBP, ABP SYS, ABP DIAS, ABP MEAN,sumpt
0,2022-06-15 06:18:42.008,104.0,149.0,178.0,115.0,,,,,,,,,,,,
1,2022-06-15 06:18:42.016,104.0,149.0,178.0,114.0,,,,,,,,,,,,
2,2022-06-15 06:18:42.024,104.0,149.0,179.0,113.0,,,,,,,,,,,,
3,2022-06-15 06:18:42.032,104.0,148.0,179.0,112.0,,,,,,,,,,,,
4,2022-06-15 06:18:42.040,103.0,147.0,179.0,111.0,,,,,,,,,,,,
5,2022-06-15 06:18:42.048,101.0,146.0,179.0,110.0,,,,,,,,,,,,
6,2022-06-15 06:18:42.056,101.0,145.0,179.0,109.0,,,,,,,,,,,,
7,2022-06-15 06:18:42.064,100.0,143.0,179.0,108.0,,,,,,,,,,,,
8,2022-06-15 06:18:42.072,100.0,142.0,180.0,107.0,,,,,,,,,,,,
9,2022-06-15 06:18:42.080,100.0,140.0,180.0,106.0,,,,,,,,,,,,
10,2022-06-15 06:18:42.088,100.0,139.0,180.0,105.0,,,,,,,,,,,,
11,2022-06-15 06:18:42.096,100.0,137.0,180.0,104.0,,,,,,,,,,,,
12,2022-06-15 06:18:42.104,100.0,136.0,179.0,103.0,,,,,,,,,,,,
13,2022-06-15 06:18:42.112,101.0,135.0,178.0,102.0,,,,,,,,,,,,
14,2022-06-15 06:18:42.120,104.0,134.0,177.0,101.0,,,,,,,,,,,,
15,2022-06-15 06:18:42.128,121.0,133.0,175.0,101.0,,,,,,,,,,,,
16,2022-06-15 06:18:42.136,154.0,132.0,172.0,100.0,,,,,,,,,,,,
17,2022-06-15 06:18:42.144,161.0,131.0,169.0,99.0,,,,,,,,,,,,
18,2022-06-15 06:18:42.152,77.0,130.0,165.0,98.0,,,,,,,,,,,,
19,2022-06-15 06:18:42.160,45.0,129.0,161.0,97.0,,,,,,,,,,,,
20,2022-06-15 06:18:42.168,53.0,128.0,156.0,96.0,,,,,,,,,,,,
21,2022-06-15 06:18:42.176,71.0,128.0,150.0,95.0,,,,,,,,,,,,
22,2022-06-15 06:18:42.184,89.0,127.0,145.0,94.0,,,,,,,,,,,,
23,2022-06-15 06:18:42.192,99.0,127.0,139.0,94.0,,,,,,,,,,,,
24,2022-06-15 06:18:42.200,103.0,126.0,134.0,93.0,,,,,,,,,,,,
25,2022-06-15 06:18:42.208,106.0,126.0,130.0,92.0,,,,,,,,,,,,
26,2022-06-15 06:18:42.216,107.0,126.0,126.0,91.0,,,,,,,,,,,,
27,2022-06-15 06:18:42.224,108.0,125.0,123.0,91.0,,,,,,,,,,,,
28,2022-06-15 06:18:42.232,108.0,125.0,120.0,90.0,,,,,,,,,,,,
29,2022-06-15 06:18:42.240,109.0,124.0,119.0,89.0,,,,,,,,,,,,
30,2022-06-15 06:18:42.248,109.0,123.0,117.0,89.0,,,,,,,,,,,,
31,2022-06-15 06:18:42.256,110.0,123.0,116.0,88.0,,,,,,,,,,,,
32,2022-06-15 06:18:42.264,110.0,122.0,115.0,87.0,,,,,,,,,,,,
33,2022-06-15 06:18:42.272,111.0,122.0,114.0,87.0,,,,,,,,,,,,
34,2022-06-15 06:18:42.280,111.0,121.0,113.0,86.0,,,,,,,,,,,,
35,2022-06-15 06:18:42.288,111.0,120.0,112.0,86.0,,,,,,,,,,,,
36,2022-06-15 06:18:42.296,111.0,120.0,111.0,85.0,,,,,,,,,,,,
37,2022-06-15 06:18:42.304,111.0,119.0,110.0,85.0,,,,,,,,,,,,
38,2022-06-15 06:18:42.312,111.0,119.0,108.0,84.0,,,,,,,,,,,,
39,2022-06-15 06:18:42.320,111.0,118.0,107.0,84.0,,,,,,,,,,,,
40,2022-06-15 06:18:42.328,111.0,118.0,106.0,84.0,,,,,,,,,,,,
41,2022-06-15 06:18:42.336,111.0,118.0,104.0,83.0,,,,,,,,,,,,
42,2022-06-15 06:18:42.344,111.0,119.0,103.0,83.0,,,,,,,,,,,,
43,2022-06-15 06:18:42.352,111.0,122.0,102.0,83.0,,,,,,,,,,,,
44,2022-06-15 06:18:42.360,110.0,126.0,101.0,82.0,,,,,,,,,,,,
45,2022-06-15 06:18:42.368,109.0,133.0,100.0,82.0,,,,,,,,,,,,
46,2022-06-15 06:18:42.376,109.0,141.0,98.0,82.0,,,,,,,,,,,,
47,2022-06-15 06:18:42.384,107.0,153.0,97.0,81.0,,,,,,,,,,,,
48,2022-06-15 06:18:42.392,107.0,165.0,95.0,81.0,,,,,,,,,,,,
49,2022-06-15 06:18:42.400,105.0,178.0,94.0,80.0,,,,,,,,,,,,
50,2022-06-15 06:18:42.408,104.0,190.0,93.0,80.0,,,,,,,,,,,,
51,2022-06-15 06:18:42.416,103.0,200.0,92.0,80.0,,,,,,,,,,,,
52,2022-06-15 06:18:42.424,102.0,207.0,91.0,79.0,,,,,,,,,,,,
53,2022-06-15 06:18:42.432,99.0,213.0,90.0,79.0,,,,,,,,,,,,
54,2022-06-15 06:18:42.440,98.0,215.0,89.0,78.0,,,,,,,,,,,,
55,2022-06-15 06:18:42.448,97.0,217.0,88.0,78.0,,,,,,,,,,,,
56,2022-06-15 06:18:42.456,96.0,217.0,87.0,77.0,,,,,,,,,,,,
57,2022-06-15 06:18:42.464,96.0,216.0,86.0,77.0,,,,,,,,,,,,
58,2022-06-15 06:18:42.472,96.0,215.0,86.0,76.0,,,,,,,,,,,,
59,2022-06-15 06:18:42.480,97.0,214.0,85.0,76.0,,,,,,,,,,,,
60,2022-06-15 06:18:42.488,97.0,213.0,85.0,75.0,,,,,,,,,,,,
61,2022-06-15 06:18:42.496,98.0,212.0,84.0,74.0,,,,,,,,,,,,
62,2022-06-15 06:18:42.504,99.0,212.0,84.0,74.0,,,,,,,,,,,,
63,2022-06-15 06:18:42.512,99.0,211.0,83.0,73.0,,,,,,,,,,,,
64,2022-06-15 06:18:42.520,99.0,211.0,82.0,72.0,,,,,,,,,,,,
65,2022-06-15 06:18:42.528,99.0,211.0,81.0,71.0,,,,,,,,,,,,
66,2022-06-15 06:18:42.536,100.0,211.0,80.0,71.0,,,,,,,,,,,,
67,2022-06-15 06:18:42.544,100.0,211.0,80.0,70.0,,,,,,,,,,,,
68,2022-06-15 06:18:42.552,100.0,210.0,79.0,69.0,,,,,,,,,,,,
69,2022-06-15 06:18:42.560,100.0,210.0,79.0,68.0,,,,,,,,,,,,
70,2022-06-15 06:18:42.568,100.0,209.0,78.0,67.0,,,,,,,,,,,,
71,2022-06-15 06:18:42.576,100.0,208.0,78.0,67.0,,,,,,,,,,,,
72,2022-06-15 06:18:42.584,100.0,207.0,78.0,66.0,,,,,,,,,,,,
73,2022-06-15 06:18:42.592,100.0,204.0,78.0,65.0,,,,,,,,,,,,
74,2022-06-15 06:18:42.600,100.0,201.0,78.0,64.0,,,,,,,,,,,,
75,2022-06-15 06:18:42.608,100.0,197.0,80.0,63.0,,,,,,,,,,,,
76,2022-06-15 06:18:42.616,100.0,191.0,83.0,63.0,,,,,,,,,,,,
77,2022-06-15 06:18:42.624,101.0,184.0,87.0,62.0,,,,,,,,,,,,
78,2022-06-15 06:18:42.632,101.0,176.0,94.0,62.0,,,,,,,,,,,,
79,2022-06-15 06:18:42.640,100.0,168.0,102.0,61.0,,,,,,,,,,,,
80,2022-06-15 06:18:42.648,101.0,161.0,110.0,60.0,,,,,,,,,,,,
81,2022-06-15 06:18:42.656,101.0,155.0,119.0,60.0,,,,,,,,,,,,
82,2022-06-15 06:18:42.664,101.0,151.0,129.0,59.0,,,,,,,,,,,,
83,2022-06-15 06:18:42.672,101.0,149.0,138.0,59.0,,,,,,,,,,,,
84,2022-06-15 06:18:42.680,101.0,147.0,148.0,58.0,,,,,,,,,,,,
85,2022-06-15 06:18:42.688,101.0,147.0,156.0,58.0,,,,,,,,,,,,
86,2022-06-15 06:18:42.696,103.0,147.0,162.0,58.0,,,,,,,,,,,,
87,2022-06-15 06:18:42.704,103.0,147.0,167.0,57.0,,,,,,,,,,,,
88,2022-06-15 06:18:42.712,104.0,148.0,170.0,57.0,,,,,,,,,,,,
89,2022-06-15 06:18:42.720,103.0,149.0,172.0,57.0,,,,,,,,,,,,
90,2022-06-15 06:18:42.728,105.0,149.0,174.0,57.0,,,,,,,,,,,,
91,2022-06-15 06:18:42.736,104.0,149.0,175.0,56.0,,,,,,,,,,,,
92,2022-06-15 06:18:42.744,105.0,149.0,175.0,56.0,,,,,,,,,,,,
93,2022-06-15 06:18:42.752,104.0,148.0,175.0,56.0,,,,,,,,,,,,
94,2022-06-15 06:18:42.760,104.0,148.0,175.0,55.0,,,,,,,,,,,,
95,2022-06-15 06:18:42.768,102.0,146.0,175.0,55.0,,,,,,,,,,,,
96,2022-06-15 06:18:42.776,101.0,145.0,175.0,55.0,,,,,,,,,,,,
97,2022-06-15 06:18:42.784,100.0,144.0,175.0,55.0,,,,,,,,,,,,
98,2022-06-15 06:18:42.792,100.0,142.0,175.0,54.0,,,,,,,,,,,,
99,2022-06-15 06:18:42.800,99.0,141.0,175.0,54.0,,,,,,,,,,,,
100,2022-06-15 06:18:42.808,100.0,139.0,174.0,54.0,,,,,,,,,,,,
101,2022-06-15 06:18:42.816,99.0,138.0,174.0,54.0,,,,,,,,,,,,
102,2022-06-15 06:18:42.824,100.0,136.0,174.0,53.0,,,,,,,,,,,,
103,2022-06-15 06:18:42.832,99.0,135.0,173.0,53.0,,,,,,,,,,,,
